timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1786312001,-2.26,-2.25,-2.04,-1.16,-4.19,0.92,-6.17,-11.43
1786312001,-2.73,-3.59,-7.48,-0.03,-4.62,0.67,-5.83,-12.64
1786312001,-2.91,-4.85,-12.39,0.81,-4.48,1.1,-3.25,-13.64
1786312001,-2.27,-5.35,-12.63,0.93,-3.72,1.95,-0.33,-13.85
1786312001,-1.52,-4.47,-6.97,0.57,-3.02,2.52,1.03,-12.97
1786312001,-1.66,-2.36,1.09,0.27,-2.96,2.43,0.72,-11.36
1786312001,-2.72,-0.07,6.44,0.18,-3.39,1.86,-0.16,-9.68
1786312001,-3.8,1.27,7.12,0.15,-3.62,1.2,-0.93,-8.42
1786312001,-4.16,1.27,5.27,0.18,-3.26,0.66,-1.58,-7.63
1786312001,-3.88,0.47,3.76,0.49,-2.63,0.15,-2.1,-7.07
1786312001,-3.47,-0.38,2.97,1.12,-2.51,-0.61,-2.59,-6.46
1786312001,-3.21,-1.06,1.21,1.54,-3.26,-1.55,-3.45,-5.54
1786312001,-2.98,-1.88,-2.55,1.1,-4.29,-1.96,-4.38,-4.36
1786312001,-2.52,-2.9,-7.21,-0.13,-4.28,-1.27,-3.97,-3.37
1786312001,-1.81,-3.76,-10.39,-1.23,-2.49,-0.07,-1.59,-2.87
1786312001,-1.09,-4.03,-10.48,-1.32,-0.02,0.41,1.04,-2.82
1786312001,-0.81,-3.59,-7.79,-0.41,0.86,-0.3,1.33,-3.06
1786312001,-1.2,-2.84,-4.08,0.59,-1.03,-1.7,-1.37,-3.7
1786312001,-2.15,-2.41,-1.5,0.89,-4.31,-3.18,-5.01,-4.95
1786312001,-3.3,-2.44,-1.43,0.63,-6.47,-4.32,-6.83,-6.73
1786312001,-4.3,-2.35,-3.46,0.48,-6.18,-4.65,-5.84,-8.51
1786312001,-4.72,-1.63,-5.27,0.76,-4.02,-3.78,-3.35,-9.51
1786312001,-4.12,-0.53,-4.61,1.18,-1.5,-1.93,-1.28,-9.19
1786312001,-2.7,0.22,-1.75,1.39,0.2,0,-0.19,-7.81
1786312001,-1.73,0.26,0.84,1.47,0.74,1.01,0.72,-6.35
1786312001,-2.47,0.04,1.04,1.69,0.21,0.83,1.77,-5.73
1786312001,-4.66,0.26,-0.76,2.05,-1.19,0.07,1.82,-5.9
1786312001,-6.55,1.01,-2.31,2.17,-3.04,-0.34,0.04,-5.87
1786312001,-6.7,1.69,-1.91,1.74,-4.67,0.1,-2.32,-4.8
1786312001,-5.37,1.8,-0.26,0.92,-5.36,0.96,-2.92,-2.79
1786312001,-3.89,1.51,0.44,0.23,-4.63,1.33,-0.92,-0.73
1786312001,-3.19,1.39,-0.87,-0.21,-2.72,0.93,2.23,0.41
1786312001,-3.19,1.64,-2.65,-0.76,-0.85,0.56,4.44,0.03
1786312001,-3.4,1.9,-2.5,-1.68,-0.2,1.04,4.88,-1.61
1786312001,-3.6,1.71,-0.15,-2.48,-0.96,1.98,4.02,-3.44
1786312001,-3.96,1.25,2.12,-2.39,-2.76,1.99,2.54,-4.49
1786312001,-4.65,1.23,2.59,-1.41,-5.23,0.45,0.78,-4.71
1786312001,-5.19,1.83,2.28,-0.56,-7.3,-1.37,-0.97,-4.86
1786312001,-4.78,2.32,3.11,-0.73,-7.23,-1.35,-2.22,-5.54
1786312001,-3.18,1.92,4.87,-1.66,-4.24,1.17,-2.51,-6.5
1786312002,-1.05,0.93,5.38,-2.3,0.13,4.55,-1.96,-6.96
1786312002,0.81,0.35,3.75,-2.09,3.18,6.57,-1.16,-6.48
1786312002,2.32,0.7,1.81,-1.33,3.5,6.56,-0.39,-5.43
1786312002,3.69,1.57,1.41,-0.45,1.99,5.49,0.51,-4.71
1786312002,4.65,2.39,1.87,0.58,0.39,4.36,1.39,-4.96
1786312002,4.54,3.15,1.68,1.98,-0.59,3.21,1.7,-5.91
1786312002,3.23,4.13,1.22,3.59,-1.32,1.93,1.26,-6.67
1786312002,1.61,5.08,2.32,4.79,-2.08,1.13,0.52,-6.41
1786312002,0.82,5.29,5.4,5.05,-2.37,1.73,-0.13,-4.99
1786312002,1.18,4.5,8.39,4.42,-1.4,3.73,-0.54,-3.03
1786312002,1.98,3.32,8.79,3.39,1.03,5.95,-0.3,-1.59
1786312002,2.46,2.66,6.61,2.32,4.22,7.39,1.03,-1.3
