timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1786312044.990000,1761.67,-21833.72,-11893.45,-13591.56,-13267.55,-10599.82,-4913.81,-6996.01
1786312044.990000,1763.28,-21836.13,-11892.65,-13590.75,-13267.01,-10598.75,-4913.54,-6993.32
1786312044.990000,1764.36,-21841.50,-11898.55,-13587.27,-13264.60,-10600.63,-4915.42,-6991.45
1786312044.990000,1760.87,-21839.35,-11905.25,-13587.80,-13267.28,-10604.65,-4917.29,-6992.79
1786312044.990000,1759.26,-21837.21,-11915.98,-13587.80,-13269.16,-10605.72,-4917.03,-6994.67
1786312045.002000,1758.99,-21838.28,-11909.28,-13590.49,-13268.62,-10602.77,-4917.56,-6996.27
1786312045.002000,1760.60,-21835.33,-11893.99,-13589.68,-13265.40,-10600.36,-4915.15,-6993.59
1786312045.002000,1760.60,-21833.45,-11892.65,-13587.80,-13265.40,-10599.29,-4915.42,-6989.57
1786312045.002000,1761.14,-21838.55,-11904.99,-13588.61,-13268.08,-10603.04,-4918.90,-6991.71
1786312045.002000,1762.48,-21839.35,-11903.11,-13588.61,-13267.55,-10607.87,-4923.73,-6990.37
1786312045.032000,1763.02,-21839.62,-11896.94,-13589.68,-13262.99,-10603.85,-4918.10,-6989.03
1786312045.032000,1764.89,-21834.26,-11888.62,-13589.68,-13262.72,-10599.02,-4911.66,-6987.42
1786312045.032000,1763.28,-21836.13,-11899.08,-13588.34,-13265.94,-10602.77,-4913.54,-6988.50
1786312045.032000,1761.67,-21839.62,-11915.71,-13587.80,-13265.94,-10605.46,-4916.76,-6990.91
1786312045.032000,1760.60,-21836.67,-11914.64,-13590.49,-13267.28,-10604.65,-4919.71,-6991.45
1786312045.061000,1759.80,-21836.40,-11897.48,-13590.22,-13267.82,-10603.85,-4919.17,-6993.32
1786312045.061000,1761.14,-21836.40,-11892.65,-13589.68,-13266.74,-10599.82,-4916.76,-6992.79
1786312045.061000,1758.72,-21837.74,-11892.38,-13587.54,-13270.77,-10601.70,-4919.44,-6992.79
1786312045.061000,1756.58,-21833.72,-11905.25,-13586.46,-13271.30,-10605.99,-4919.98,-6990.37
1786312045.061000,1754.97,-21836.40,-11911.42,-13587.80,-13270.23,-10607.33,-4921.32,-6989.30
1786312045.064000,1755.77,-21838.82,-11898.55,-13589.95,-13271.03,-10605.99,-4920.78,-6989.57
1786312045.064000,1755.24,-21835.06,-11891.04,-13588.61,-13274.79,-10607.87,-4926.41,-6990.11
1786312045.064000,1752.56,-21836.67,-11897.48,-13587.80,-13276.40,-10610.55,-4926.15,-6993.06
1786312045.064000,1753.90,-21834.79,-11905.52,-13587.27,-13270.50,-10607.33,-4918.10,-6991.18
1786312045.064000,1757.12,-21833.99,-11908.20,-13586.19,-13269.69,-10607.06,-4918.90,-6991.71
1786312045.092000,1757.65,-21836.13,-11897.21,-13588.34,-13272.38,-10608.67,-4923.46,-6992.52
1786312045.092000,1756.58,-21836.94,-11892.65,-13589.95,-13274.79,-10610.55,-4921.59,-6991.71
1786312045.092000,1757.12,-21837.21,-11901.77,-13588.88,-13269.96,-10608.41,-4918.10,-6990.11
1786312045.092000,1756.31,-21839.35,-11916.52,-13587.80,-13267.01,-10605.99,-4919.98,-6988.50
1786312045.092000,1755.77,-21838.28,-11913.57,-13588.61,-13265.40,-10605.46,-4927.75,-6986.89
1786312045.123000,1755.24,-21836.40,-11905.79,-13589.41,-13270.50,-10610.01,-4929.90,-6986.35
1786312045.123000,1756.04,-21838.55,-11901.50,-13589.14,-13273.18,-10610.82,-4924.80,-6987.69
1786312045.123000,1754.70,-21837.21,-11897.48,-13589.41,-13271.84,-10608.67,-4918.64,-6988.76
1786312045.123000,1752.29,-21835.86,-11906.59,-13587.54,-13271.57,-10606.80,-4918.37,-6990.11
1786312045.123000,1752.56,-21833.99,-11902.30,-13588.07,-13270.23,-10608.41,-4924.27,-6988.76
1786312045.124000,1756.58,-21835.33,-11891.57,-13588.61,-13270.77,-10609.48,-4931.51,-6987.69
1786312045.124000,1755.24,-21837.74,-11893.18,-13588.07,-13275.59,-10611.89,-4938.22,-6988.50
1786312045.124000,1752.56,-21835.60,-11901.50,-13587.80,-13274.79,-10610.55,-4926.41,-6990.11
1786312045.124000,1754.43,-21832.38,-11907.40,-13588.61,-13271.30,-10610.55,-4917.03,-6989.57
1786312045.124000,1752.29,-21836.13,-11908.74,-13588.61,-13273.45,-10610.01,-4923.46,-6990.37
1786312045.152000,1751.48,-21838.55,-11907.94,-13587.54,-13274.79,-10611.36,-4929.63,-6990.64
1786312045.152000,1752.56,-21835.33,-11899.89,-13586.73,-13274.79,-10612.97,-4929.10,-6991.18
1786312045.152000,1751.75,-21832.65,-11896.40,-13587.80,-13273.18,-10612.70,-4926.15,-6992.25
1786312045.152000,1748.26,-21835.60,-11907.94,-13585.39,-13276.67,-10615.92,-4926.15,-6994.93
1786312045.152000,1746.65,-21836.13,-11908.74,-13586.19,-13277.47,-10616.45,-4930.71,-6994.40
1786312045.181000,1746.92,-21836.94,-11903.64,-13589.95,-13276.67,-10614.31,-4931.51,-6994.13
1786312045.181000,1748.80,-21839.62,-11895.33,-13591.83,-13274.79,-10613.77,-4933.92,-6992.25
1786312045.181000,1751.21,-21838.01,-11895.87,-13589.14,-13274.52,-10617.79,-4936.87,-6990.64
1786312045.181000,1751.21,-21836.40,-11908.47,-13586.73,-13275.06,-10620.48,-4932.58,-6989.84
1786312045.181000,1751.75,-21838.28,-11918.40,-13589.68,-13274.52,-10615.38,-4930.17,-6990.11
1786312045.184000,1756.04,-21839.62,-11921.35,-13591.29,-13271.84,-10612.97,-4932.85,-6987.15
1786312045.184000,1756.04,-21838.55,-11906.06,-13589.68,-13273.18,-10617.26,-4933.12,-6988.76
1786312045.184000,1755.24,-21837.47,-11904.72,-13588.34,-13271.84,-10611.36,-4923.46,-6989.30
1786312045.184000,1751.75,-21834.26,-11911.69,-13587.80,-13271.30,-10610.01,-4922.39,-6989.03
1786312045.184000,1752.56,-21833.45,-11904.45,-13589.68,-13272.11,-10608.67,-4926.15,-6989.03
1786312045.241000,1753.09,-21834.52,-11896.67,-13590.49,-13275.33,-10612.43,-4927.75,-6989.30
1786312045.241000,1749.34,-21836.13,-11891.84,-13588.88,-13279.62,-10618.60,-4930.97,-6991.71
1786312045.241000,1749.87,-21835.60,-11895.33,-13587.80,-13275.86,-10618.06,-4930.71,-6989.57
1786312045.241000,1753.09,-21837.47,-11904.72,-13587.27,-13269.96,-10612.70,-4929.63,-6987.42
1786312045.241000,1754.43,-21837.74,-11910.89,-13588.07,-13269.69,-10611.89,-4929.10,-6986.89
1786312045.244000,1756.04,-21838.28,-11903.64,-13590.49,-13270.23,-10614.84,-4926.41,-6988.23
1786312045.244000,1755.24,-21837.74,-11900.16,-13589.14,-13270.77,-10610.55,-4925.34,-6987.42
1786312045.244000,1755.24,-21831.04,-11902.03,-13587.80,-13271.84,-10608.67,-4927.75,-6984.20
1786312045.244000,1754.43,-21830.77,-11902.57,-13587.54,-13272.64,-10610.01,-4930.17,-6985.01
1786312045.244000,1751.48,-21831.31,-11900.43,-13585.66,-13273.72,-10612.43,-4930.97,-6989.03
1786312045.247000,1752.56,-21831.84,-11896.67,-13585.12,-13273.18,-10611.89,-4927.22,-6987.42
1786312045.247000,1753.36,-21835.60,-11901.23,-13587.00,-13275.86,-10612.16,-4925.88,-6986.08
1786312045.247000,1751.21,-21834.52,-11904.72,-13584.32,-13279.62,-10616.45,-4931.78,-6989.03
1786312045.247000,1748.00,-21832.91,-11909.55,-13583.24,-13279.35,-10618.60,-4933.66,-6991.71
1786312045.247000,1748.26,-21833.72,-11904.72,-13584.58,-13281.23,-10617.53,-4936.87,-6990.91
1786312045.314000,1749.34,-21836.13,-11891.57,-13585.93,-13280.96,-10618.60,-4940.36,-6992.25
1786312045.314000,1749.61,-21835.60,-11890.77,-13585.12,-13276.13,-10617.79,-4934.19,-6990.91
1786312045.314000,1748.26,-21831.04,-11892.38,-13582.17,-13276.40,-10615.92,-4930.71,-6990.91
1786312045.314000,1743.97,-21829.96,-11907.13,-13581.90,-13278.54,-10618.87,-4929.90,-6995.74
1786312045.314000,1744.51,-21833.18,-11910.62,-13582.98,-13278.81,-10622.08,-4932.31,-6996.01
1786312045.331000,1746.39,-21836.94,-11901.50,-13582.98,-13282.57,-10621.28,-4938.75,-6993.86
1786312045.331000,1744.78,-21834.26,-11888.62,-13583.24,-13285.79,-10619.94,-4941.70,-6995.74
1786312045.331000,1742.36,-21832.38,-11894.79,-13583.51,-13284.98,-10620.74,-4937.68,-6998.15
1786312045.331000,1744.78,-21828.62,-11913.57,-13581.90,-13282.03,-10622.62,-4938.22,-6993.59
1786312045.331000,1742.36,-21829.70,-11910.08,-13582.98,-13284.45,-10625.84,-4940.90,-6995.47
